first_name,last_name,date_of_birth,fee,joined_on,matriculation
Haze,Pirie,1999-08-22,$1011.06,2022-06-01,true
Pasquale,Twelve,2001-07-22,$2063.16,2004-03-07,false
Salvador,Kuhl,2001-10-30,$3033.19,2017-08-07,true
Hill,Kilcullen,2000-05-03,$3464.73,2015-12-16,false
Ogden,Klimkov,2000-09-26,$1310.14,2009-04-12,false
Adara,Saltmarshe,2000-03-01,$3449.92,2013-01-31,false
Rey,Saxby,1999-09-01,$3224.90,2021-01-19,false
Jephthah,Lutsch,2000-07-08,$3900.53,2004-06-12,false
Boyce,Collelton,2001-08-26,$2907.06,2023-01-05,false
Alfred,Burghall,1999-06-09,$3976.75,2010-12-12,false
Olivier,Mary,1999-08-06,$2496.61,2011-06-21,true
Darin,Koop,1998-08-15,$862.16,2011-02-04,false
Curr,Patershall,2000-04-06,$765.32,2022-07-21,false
Fania,Richens,2000-02-07,$504.32,2015-05-03,true
Ronnie,Zielinski,2001-05-05,$3783.62,2004-05-20,false
Humfrey,Latchmore,1999-07-24,$866.59,2014-03-18,true
Shaw,Doding,2000-07-08,$2230.08,2018-05-22,true
Dick,Dumphy,1999-03-07,$3425.76,2004-02-14,false
Judd,Sircombe,2001-07-18,$2917.88,2015-02-28,true
Bord,Roll,2002-02-28,$3218.02,2012-06-13,true
Gilberte,Isenor,2000-09-23,$3577.97,2018-03-04,false
Marice,Novelli,2001-05-22,$2695.98,2016-06-13,true
Donny,Arnowicz,2002-01-30,$1006.23,2009-08-10,true
Odilia,Fletcher,1998-07-13,$3268.10,2010-02-01,true
Lauri,Banasiak,2001-12-22,$3311.67,2010-02-18,true
Adrian,O'Heagertie,1998-12-17,$1876.47,2011-09-01,false
Ddene,McKernan,2001-11-03,$2515.72,2009-06-05,true
Dollie,Eastop,1998-07-16,$1791.87,2011-06-25,false
Becki,Gorges,2000-04-08,$1685.93,2004-04-30,true
Kennan,Habble,2001-12-15,$2071.66,2020-06-26,false
Cindie,Friedank,1998-12-05,$1536.45,2011-01-18,true
Dolores,de Nore,1999-05-21,$2249.40,2018-04-27,true
Lissie,Ferreres,2000-07-15,$3745.65,2011-04-14,false
Rutherford,Chappelle,2001-09-25,$3991.60,2013-06-05,false
Thorn,Parsonage,1998-10-19,$1196.40,2019-12-12,true
Shae,Olner,2000-07-11,$2544.61,2018-09-09,true
Alvira,Cumo,1998-08-09,$1198.45,2013-06-12,true
Cymbre,Kiellor,2001-02-23,$3022.75,2021-10-17,false
Kimble,Mayou,2001-12-11,$3014.66,2002-05-15,true
Kamila,Ferrone,1999-11-01,$3889.07,2012-06-24,false
Melisenda,Peinton,2000-05-25,$3578.81,2022-01-15,false
Coletta,Shwenn,2000-05-22,$647.85,2009-03-01,true
Barnie,Le Lievre,1999-11-27,$2009.36,2011-03-08,false
Janis,Lintott,1998-11-05,$649.80,2002-11-22,false
Willem,Pennacci,1998-04-26,$1731.17,2014-04-07,true
Manolo,Conan,2001-03-15,$3000.99,2007-10-31,false
Leigh,Daskiewicz,2001-06-28,$2980.24,2006-03-31,false
Guenna,Shawcross,2001-04-01,$1768.25,2009-05-29,false
Zonda,Sturney,1999-04-13,$3007.30,2019-09-16,false
Shalna,Szimon,2001-03-26,$3999.70,2022-11-14,false
Galvan,Hearson,1999-01-16,$1072.32,2015-03-21,true
Shaw,Najera,1999-06-01,$567.52,2007-01-27,true
Bernarr,Eley,2001-02-16,$3549.66,2020-04-17,false
Hamid,Gerritzen,1999-04-19,$1892.82,2019-03-14,true
Cecil,Loveman,2000-05-05,$1430.40,2006-05-02,false
Erwin,Greenset,1998-11-22,$1330.24,2017-06-24,false
Arnie,Kears,2000-12-25,$2784.05,2005-09-21,true
Kirsten,Slide,1999-03-07,$2502.47,2008-01-04,false
Jan,Prentice,1999-01-13,$2054.91,2014-09-25,true
Sybilla,Glaysher,1998-06-22,$894.87,2015-02-21,false
Izak,Britzius,2002-02-11,$3780.00,2021-12-15,false
Cull,Gorioli,2001-11-18,$1250.32,2013-11-10,false
Paddy,Simonitto,1999-03-20,$569.71,2005-12-25,false
Mozes,Janes,2000-03-07,$1457.02,2011-07-31,true
Jonah,Bourtoumieux,1999-04-12,$2109.07,2012-01-01,false
Ronnie,Everest,1998-10-05,$1330.11,2010-03-05,false
Brit,Tear,1998-11-11,$861.78,2021-01-01,true
Jeanna,Neiland,2001-05-15,$2061.33,2017-05-12,false
Bil,Syres,1999-03-28,$2268.06,2011-02-07,false
Augustine,Inglesant,2002-01-05,$1517.75,2018-05-08,false
Corbie,Jell,1998-04-30,$3788.84,2015-07-02,false
Ibrahim,Ick,1999-04-11,$1560.91,2012-03-02,true
Willie,Drakes,2000-09-09,$1529.50,2015-08-15,true
Sisile,L'Hommeau,1999-01-23,$2472.06,2008-03-14,true
Renie,Tigwell,2000-05-25,$588.72,2016-11-23,true
David,Harwood,1998-07-20,$1393.87,2011-02-24,false
Maybelle,McDermid,2002-01-28,$3410.19,2012-07-18,true
Margaretha,Gilks,1998-07-30,$3865.93,2017-02-04,true
Janaya,Evennett,2001-07-31,$919.26,2013-12-13,false
Kayle,Hawkslee,1998-04-24,$1346.03,2010-11-12,false
Theodore,Foote,2001-09-25,$1126.97,2004-10-02,false
Sonnie,Janik,1999-08-22,$1141.45,2002-07-13,false
Dedie,Babidge,1999-10-28,$2784.89,2016-04-10,false
Jobyna,Tubritt,2001-09-27,$3408.18,2020-12-27,false
Miran,Wincott,2001-04-04,$2932.96,2006-12-16,false
Tiphani,Brunelleschi,1998-05-24,$1788.16,2015-03-26,false
Randi,Grinikhinov,1998-03-30,$3427.86,2021-03-31,false
Farleigh,Vallentine,2000-07-29,$1136.29,2002-09-26,true
Ravi,Skirrow,1999-02-26,$1911.57,2019-05-15,false
Lorry,Ottiwill,1999-04-05,$2116.79,2007-06-22,false
Wilburt,Ewings,1998-07-25,$548.15,2022-02-25,true
Minda,Lethem,2000-09-24,$2103.19,2023-01-02,false
Florri,Karolewski,2000-07-22,$1670.24,2016-12-19,true
Melonie,Grissett,1999-10-16,$2577.39,2002-11-04,true
Woodman,Shapero,2000-12-16,$1437.61,2002-11-18,false
Burnaby,Bulmer,2001-12-28,$759.21,2002-03-22,true
Val,Olliffe,2001-07-03,$1980.26,2006-10-22,true
Thebault,Winterburn,2001-08-04,$1359.45,2008-04-06,false
Brita,Houlson,2000-09-19,$2677.35,2012-05-18,false
Josh,Opdenorth,2002-02-06,$1096.17,2008-08-17,true
Timothea,Odhams,2000-08-29,$1017.14,2011-02-24,true
Markus,Gallico,2001-03-20,$3643.15,2006-11-04,true
Pietrek,Lufkin,2001-01-06,$3596.53,2005-10-11,false
Dorette,Baumert,2001-04-29,$730.79,2015-06-26,true
Ida,Mayworth,2000-03-18,$2707.02,2020-11-13,false
Rutherford,Breen,2001-08-25,$2548.18,2012-02-13,false
Cristobal,Maguire,1998-10-09,$2307.32,2017-05-11,false
Sondra,Mathieson,1999-05-30,$1225.21,2002-10-10,true
Quintana,Chason,1999-10-03,$3786.65,2012-03-31,false
Romona,Kenwood,2001-03-06,$2588.11,2003-10-20,false
Bernadette,Kimbley,2000-03-13,$1665.81,2004-11-28,true
Damian,Kershow,2000-10-03,$977.72,2009-10-10,true
Blayne,McLaggan,1999-05-01,$3218.12,2021-07-19,true
Link,Sisey,1998-12-22,$1924.06,2013-05-29,false
Giselle,Harnett,2001-09-12,$2464.31,2018-12-22,false
Brandais,Tureville,1998-12-08,$566.90,2019-11-10,true
Graham,Kabsch,1998-05-14,$2057.12,2011-10-25,true
Genia,Himsworth,1999-08-21,$2210.12,2011-07-01,false
Christen,Birchner,1999-12-11,$2121.07,2012-01-17,false
Analiese,Muggeridge,1998-05-18,$2044.79,2018-08-21,true
Leone,Chmiel,1998-07-23,$868.40,2004-10-12,false
Lynsey,Firminger,1999-02-21,$1456.50,2020-07-20,false
Elizabeth,Pregal,1999-09-23,$3132.74,2019-08-01,false
Hillel,Lally,2001-09-02,$2780.23,2022-01-09,true
Nissie,Chetham,2002-03-04,$3978.88,2019-05-26,false
Tracey,Fendlen,2002-01-19,$3485.99,2003-03-25,true
Adelheid,Bever,2002-01-28,$1011.01,2014-12-04,true
Sofia,Petican,1998-11-17,$3099.89,2007-04-22,true
Virgie,Frugier,1999-08-24,$3729.84,2022-09-22,false
Shem,Flasby,2001-12-23,$3740.36,2022-01-09,true
Tom,Snartt,2000-09-11,$2213.80,2009-05-25,true
Lief,Smithson,1999-10-06,$2150.25,2007-04-21,true
Lavina,Aysik,1998-07-06,$1553.96,2007-09-26,true
Leah,Taylorson,2001-09-23,$1558.25,2013-06-13,true
Paxton,Compston,2000-12-29,$3195.19,2018-01-05,true
Mathilda,Menhci,2000-06-21,$1269.18,2013-01-18,false
Isaak,Brekonridge,2001-03-27,$3187.43,2017-05-21,true
Maia,Doctor,2001-03-21,$1617.91,2014-09-09,false
Laural,Hayhow,1999-06-05,$1857.92,2007-03-13,false
Gar,Fells,1998-05-28,$3208.83,2013-06-15,false
Ariel,Whopples,2002-02-19,$3697.61,2022-06-14,true
Carmelina,Le Estut,2001-10-31,$3404.47,2007-10-31,true
Perrine,Pavitt,1998-11-26,$2200.24,2005-04-03,true
Riki,Sherwen,1999-05-13,$1404.96,2019-07-24,true
Boigie,Bauman,2000-05-22,$1645.60,2003-11-22,false
Venus,Arndt,2002-02-23,$1747.85,2005-03-31,true
Skylar,Hindshaw,1998-08-08,$747.61,2012-02-05,false
Broddy,Keuneke,2001-04-21,$1263.04,2012-06-25,false
Alf,MacTrustey,1998-12-29,$881.26,2006-06-14,false
Lauralee,Habbin,1999-09-10,$2492.43,2020-09-29,false
Marilyn,Januszewski,1998-07-02,$917.57,2019-11-12,false
Nikki,Stockoe,2002-03-07,$1249.50,2003-05-07,false
Agnola,Kurton,1998-10-12,$2412.16,2014-03-19,true
Cleve,Peek,2002-02-12,$2105.98,2007-02-10,false
Consuelo,Mechell,2001-12-09,$2431.90,2007-07-10,true
Goldina,Spittall,1998-04-13,$1375.47,2020-09-25,true
Stevana,Wakley,1998-11-12,$794.02,2020-01-21,false
Demott,Harnetty,1999-04-07,$2677.59,2019-03-12,false
Huntlee,Weale,1999-10-24,$2088.57,2002-06-13,false
Alaster,Calcraft,2002-03-14,$3647.63,2011-02-02,false
Tamarah,Kuzemka,1998-03-17,$507.49,2008-02-21,false
Giana,Hardwin,2000-03-24,$3220.82,2021-12-05,true
Kenny,Backsal,1998-12-26,$3068.64,2007-12-17,true
Nessa,Knibley,2002-02-01,$2316.01,2015-06-15,true
Marge,Gavigan,2000-03-08,$1992.05,2009-04-15,false
Daron,Barwack,1998-04-17,$3494.39,2010-08-23,true
Wakefield,Skehens,1999-02-12,$1443.24,2003-10-16,true
Paulita,Colleer,1998-11-12,$3966.89,2012-06-05,true
Clio,Chittleburgh,2000-12-29,$3228.48,2015-02-01,false
Cari,Windress,2000-04-27,$3565.76,2014-12-17,false
Morten,Bellwood,2001-03-20,$898.46,2006-04-30,true
Revkah,Berzin,2001-01-21,$535.12,2013-02-09,false
Ephrayim,Schroter,1999-09-30,$2502.32,2014-08-24,true
Sunny,Yurlov,1999-10-28,$3155.08,2005-06-09,true
Amber,Jasik,2001-07-13,$1500.05,2016-01-28,true
Phil,Gosforth,1999-02-27,$3292.71,2018-10-12,false
Cristal,Twelves,1999-01-19,$2109.54,2021-07-08,true
Carla,Gilardengo,2000-07-05,$2008.61,2009-01-06,false
Alvie,Foulis,1999-04-20,$2938.66,2003-01-29,true
Tracey,Yeude,2000-01-21,$2829.49,2010-05-04,true
Katusha,Francesch,1999-04-28,$1946.38,2004-10-14,false
Eamon,Charrette,2002-01-12,$508.76,2019-05-07,true
Deloris,Ivanyukov,2001-06-01,$726.38,2019-02-07,false
Marietta,Elkington,1999-09-29,$528.47,2003-08-11,false
Marlane,Cyples,2001-12-08,$2292.05,2019-10-21,true
Margy,Eardley,2000-04-18,$1836.18,2003-09-13,true
Hymie,Clayborn,2000-04-09,$3670.22,2015-06-10,false
Cobby,Whimper,2000-02-21,$2857.83,2003-10-10,false
Morty,Danzig,2000-02-15,$2941.07,2010-01-02,true
Calypso,Dillamore,2000-02-26,$688.97,2002-10-13,false
Amara,Pitford,2001-10-22,$2842.18,2011-05-23,true
Layton,Steffens,2001-11-14,$515.75,2019-09-26,false
Jenn,McIlhagga,2002-03-11,$1882.15,2009-03-15,false
Farlie,Andriessen,2001-11-08,$3632.36,2011-04-29,true
Devland,Coltman,1998-10-01,$2636.20,2022-05-07,true
Natalina,Ducker,1999-05-15,$3864.36,2010-04-04,false
Bat,Banaszewski,2001-06-03,$2532.61,2003-10-20,true
Kelsi,Proughten,1999-07-05,$1792.31,2015-02-18,true
Elysee,Slateford,2000-04-08,$1773.58,2016-04-24,false
Devan,Janak,2001-05-17,$1196.63,2008-06-10,false
Blaire,Brenton,1999-06-21,$1659.29,2018-04-29,false
Giffie,Holbury,1999-09-04,$2737.90,2021-09-21,false
Jammie,Mumby,1999-07-28,$2444.94,2012-04-05,true
Robby,Greasty,2000-01-18,$1383.28,2022-09-25,false
Hammad,Stiggers,1999-02-01,$2099.57,2009-04-28,true
Virgie,Smy,1998-08-28,$2455.94,2014-08-21,true
Trish,Radband,2000-03-08,$1791.09,2012-07-18,false
Helge,Muress,2001-02-03,$2894.83,2002-12-31,false
Jdavie,Olney,1998-04-19,$1102.83,2005-09-10,false
Huntley,Brimman,1998-12-26,$2315.00,2011-04-23,true
Jacynth,Brunone,2000-02-05,$1894.36,2010-08-30,false
Dianemarie,Duigenan,1999-06-10,$1153.67,2010-12-02,false
Jerri,Mewhirter,1998-07-27,$2789.85,2014-07-27,false
Hattie,Preddle,1998-06-10,$3894.02,2003-11-23,true
Nyssa,Seller,1998-06-05,$1260.40,2012-03-01,true
Alyss,Ebbage,1998-11-10,$2797.80,2014-10-31,false
Luce,Arnowitz,1998-07-02,$3833.28,2013-11-26,true
Derry,Klimontovich,1999-03-26,$2787.82,2011-03-07,false
Cam,Soane,2001-12-05,$904.95,2017-09-22,false
Guenna,Allner,1998-06-25,$3344.44,2016-02-03,true
Rachele,Kuhlen,1998-04-21,$3770.81,2018-01-21,true
Putnam,Eyckelbeck,1999-03-16,$1790.68,2012-06-11,false
Kassia,Vernon,2000-05-20,$2652.25,2006-10-13,false
Hetti,Huckin,1998-10-26,$1107.50,2015-03-10,true
Jehu,Bollon,2000-02-02,$3539.54,2014-04-12,false
Berry,Espinal,2000-07-04,$1914.58,2020-04-04,true
Phyllida,Polkinhorn,1999-12-08,$3937.55,2014-12-21,false
Desiri,Haynesford,1999-08-07,$2763.20,2009-06-30,true
Leoline,Lind,1998-05-13,$1961.57,2009-11-17,true
Clarence,de Verson,2000-09-10,$3653.23,2004-11-02,true
Mindy,Kauscher,1998-05-02,$2315.06,2005-07-16,false
Kari,Lapping,1998-12-19,$2175.01,2008-06-18,false
Drugi,Caret,2001-09-13,$1484.19,2010-10-24,true
Vail,Clayson,1998-11-14,$675.88,2005-03-27,true
Lidia,Picford,2000-04-24,$2732.46,2008-08-05,false
Cesya,Tours,2000-08-26,$2952.19,2004-01-15,false
Blaine,Blackett,2000-07-28,$2534.76,2014-07-02,false
Amandi,Kibby,1998-08-01,$3618.43,2022-07-18,true
Heall,Leipnik,2000-05-11,$3058.55,2013-07-15,false
Mel,Angrick,2001-09-08,$2523.64,2008-09-12,true
Lynnet,Ivery,1998-05-04,$1679.53,2019-05-23,false
Feliza,Byars,2001-03-10,$3888.40,2005-04-11,true
Stefan,Tewkesberry,2001-01-27,$3794.58,2020-04-29,false
Marley,Creegan,1998-07-05,$2337.42,2019-10-25,true
Nerissa,Lanceley,1999-02-19,$674.04,2008-08-14,false
Trixy,McPharlain,1998-06-07,$654.05,2005-04-06,false
Kristoffer,Buswell,2000-02-24,$3422.01,2007-06-22,false
Janessa,McKellar,2001-08-22,$2457.60,2021-08-09,false
Klarrisa,Cryer,1999-10-23,$2970.06,2004-03-23,false
Fields,Cawtheray,1998-11-04,$2171.91,2013-08-09,true
